Intent	Sentence
modalita_pagamento	La consegna della merce va pagata solo con carta di credito?
fasce_orarie_consegna_a_casa	Mi portate la spesa a casa?
lista_preferiti	Salvare la lista spesa
ricerca_prodotti	Dove si trovano le fette biscottate
consegna_costo	costi della spedizione
rimozione_dati	Non mi sono mai iscritta sulla vostra piattaforma per tanto come è possibile che io veda i miei dati?
carrello_spesa	Il carrello della spesa
logout_carrello	posso salvare un ordine?
agenda_bloccata	Perché la funzione agenda non funziona mai?
citta_consegna	Potreste dirmi se a Loano c'è consegna a domicilio?
controindicazioni	Mi dici dove trovo gli effetti indesiderati dei farmaci?
no_corrispondenza_prodotti	Prodotto disponibile online ma non disponibile in negozio
sei_un_robot	C'è qualcuno che scrive o fai da solo?
errore_credenziali	Non riesco ad inserire le credenziali
ricerca_prodotti	Volevo sapere se fosse possibile ordinare online il nuovo panettone balocco
modifica_password	Mi dici come posso modificare la password ?
modifica_dati_anagrafici	modifica dati
codice_sconto	Ho un codice sconto/ coupon, dove lo posso inserire?
vaccini_viaggi	Quale vaccino devo fare se mi reco a Lima?
problema_sito	"Mi esce il messeggio ""sessione scaduta"""
lista_farmaci_consegna_a_domicilio	Mascherine
operatore	Posso essere contattato al più presto ?
estero	è possibile spedire un farmaco dall'italia a un paese europeo con il vostro servizio?
email_modifica	Ho cambiato la mail, cosa devo fare?
ricerca_prodotti	Vendete la cioccolata everlook?
info_negozi	Info punto vendita più vicino a
lista_farmaci_consegna_a_domicilio	Dove trovo la lista dei farmaci da acquistare ?
stile_di_vita	é possibile avere delle info sui prodotti in base allo stile di vita di una persona?
estero	ho una amica in brasile che ha contratto un virus vorrei fargli recapitare dei farmaci dalle farmacie laggiù. c!è un uwell in brasile con cui potersi collegare o un modo per gestirlo da qua?
consegna_quantita	limiti di peso per la spesa a casa ?
new_covid_19	Sono ammalato di questo virus che chiamato corona
prodotti_non_disponibili	avevo ordinato dei prodotti ma al momento della preparazione dell'ordine mi è stato comunicato che non sono disponibili che succede?
estero	invio farmaci all'estero
errore_aggiunta_carrello	quando clicco su aggiungi non si visualizza il prodotto nel carrello
errore_chiusura	non mi fa chiudere
modifica_email	Modifica email
sconti_non_applicati	Spesa online non mi prende lo sconto del 50%
consulto_medico	Perché si sbadiglia frequentemente
estensione_geografica	Dove è attivo il servizio?
ricerca_prodotti	Pesce fresco
cancellazione_account	Ho deciso di eliminare l'app eliminate anche i miei dati?
collaborazioni	Vorrei sapere come posso collaborare con voi
limite_minimo	Quanto è la spesa minima?
limite_minimo	C'è un limite minimo di spesa per usufruire del servizio?
fare_spesa	Vorrei ricevere la spesa a domicilio
estero	Posso inviare i farmaci in farmacie extra europee col vostro servizio?
cambiare_orario_consegna	Come faccio a modificare l'orario della consegna?
cancellazione_account	Voglio cancellarmi
info_ingredienti_allergeni	Dove trovo gli ingredienti?
acquisto_senza_carta_piu	Gli sconti saranno applicabili anche senza carta fedeltà?
ricerca_prodotti	Vorrei acquistare il lievito fresco in panetto da 500
lista_preferiti	I miei prodotti preferiti ?
prodotti_non_disponibili	che faccio ora che i prodotti non sono più disponibili?
insoddisfazione_ordine	Non sono soddisfatto dell'ordine che posso fare?
consulto_medico	Ho mal di stomaco
prodotti_non_disponibili	al momento dell'ordine i prodotti non sono disponibili che succede ?
nome_utente	Cosa devo utilizzare l’email il mio nome?
cancellazione_newsletter	vorrei disiscrivermi dalla vostra newsletter
medico_preferito	Aggiunta medico alla lista dei preferiti
catalogo_premi	Catalogo premi
consegna_a_domicilio	Consegna a casa
scontrino_fiscale	i farmacisti devono rilasciare la fattura?
importo_pagato_diverso	ma perchè il prezzo finale non corrisponde con il prezzo dei prodotti?
costo_servizio	Volevo sapere se esiste un versione free del profilo
catalogo_premi	Come funziona la raccolta punti?
scontrino_fiscale	la farmacia deve comunque emettere lo scontrino?
reso_prodotti	Reso per i prodotti avariati?
sconti_non_applicati	non ha effettuato lo sconto
prodotto_scaduto	Mi hanno consegnato un prodotto scaduto, cosa faccio?
device_diversi_sincronizzati	Vorrei utilizzare device diversi posso
fasce_orarie_consegna_a_casa	Quando posso ritirare la spesa?
info_per_farmacie	Salve ho una farmacia e vorrei aderisse al vostro programma
cosa_cucino	Che mi faccio per mangiare?
operatore	chi contatto nel caso di reclamo?
errore_registrazione_app	Nella registrazione come inserire data di nascita
reso_consegna_domicilio	non sono arrivati i farmaci a domicilio
hr	come vi mando il curriculum?
farmacia_preferita	Vorrei sapere perchè non mi fa aggiornare la farmacia come farmacia preferita
info_newsletter	Posso iscrivermi alla newsletter?
consegna_piano	Spesa fino al piano del mio appartamento ?
info_newsletter	Vorrei iscrivermi alla newsletter
fasce_orarie_consegna_a_casa	A che ora arriva la mia spesa?
promozioni	Dove trovo le offerte?
addebito_bancario_spesa	Addebito bancario spesa ?
reso_prodotti	Avariati
errore_aggiunta_familiare	Posso aggiungere mia madre ?
errore_aggiunta_carrello	Il carrello era pieno e ora è vuoto: perché?
sconti_non_applicati	La spesa non è stata scontata
tracking	Dove è la mia spesa
unita_peso	Perchè il peso è predefinito?
citta_consegna	Come capire se consegna nella mia zona
costo_servizio	Quanto costa l'app?
ricerca_prodotti	La frutta è disponibile?
reso_prodotti	Le zucchine erano scadute
errore_aggiunta_familiare	Vorrei aggiungere altri familiari come faccio?
tipologie_ordine	tipologia ordine
problema_sito	L'ho fatto ma mi dice che c'é un errore o che il link è scaduto
modifica_password	Password modifica
info_malattie	vorrei avere informazioni sulla febbre tifoide
carta_non_intestatario	Vorrei usare la carta fedeltà di un'altra persona per registrarmi
familiari	è possibile inserire mio marito nella lista dei familiari?
registrazione_utenti	Vorrei iscrivermi
fare_spesa	Dove posso fare la spesa online?
ordine_effettuare	Posso ricevere la mia spesa a casa?
info_registrazione	Non capisco come mi devo registrare
modifica_password	Mi aiuti a modificare la password?
modifica_email	in che modo posso cambiare la email?
app	app scaricabile da Play store
cosa_cucino	Info ricette ?
modalita_pagamento	Si può pagare in contanti?
cambiare_orario_consegna	cambiare l'orario di consegna
promemoria	come posso inserire il promemoria per un farmaco?
cancellazione_account	vorrei cancellare account
problema_consegna	Problemi con la consegna
fare_spesa	Dove devo ritirare la spesa effettuata
importo_pagato_diverso	I prodotti non hanno il prezzo che pensavo in fase di pagamento
lista_farmaci_consegna_a_domicilio	Cerco le mascherine
unita_peso	Il peso è predefinito perché?
lista_farmaci_consegna_a_domicilio	Dove vedo i farmaci disponibili?
modifica_email	Come modifico l'email
consulto_medico	Ho bisogno di un consulto per un farmaco
ticket	è possibile pagare anche la spesa online tramite ticket?
problema_configurazione_app	Non riesco a configurare il mio 2 pro con iphone
privacy	Tutela della mia privacy?
costo_servizio	si paga per l'app?
device_diversi_sincronizzati	sincronizzazione
orari_negozi	Quali sono le fasce orarie disponibili per il ritiro in negozio ?
limite_minimo	Esiste un limite minimo di spesa?
errore_conclusione_ordine	Il sistema è bloccato sul metodo di pagamento
ricerca_prodotti	Sushi
errore_aggiunta_familiare	Sai dirmi come posso aggiungere altri familiari ?
volantino	Il vostro volantino è disponibile anche online?
ricerca_prodotti	Passata mutti
problema_consegna	Il mio ordine è in ritardo
cancellazione_account	come cancello il profilo
ricerca_prodotti	Preservativi
fasce_orarie_consegna_a_casa	Consegna a casa orari
cambiare_orario_consegna	Modificare l'orario di consegna spesa.
info_vetrina	Info Vetrina
problema_consegna	La spesa non è ancora arrivata è in ritardo
consulto_medico	Ho un problema con un farmaco
modifica_password	Mi dici come modifico la password ?
costo_servizio	Quali sono le modalità di pagamento disponibili?
scaricare_app	in che modo posso scaricare l'app?
modalita_pagamento	Tipo pagamento?
citta_consegna	95121 è coperto?
contatti	Costa il numero verde?
estero	invio a paesi extraeuropei
unita_peso	Posso acquistare verdure con un determinato peso
errore_credenziali	Non riesco ad accedere con le mie credenziali
farmacia_preferita	Sto provando ad inserire la mia farmacia ma non riesco
orari_negozi	ritiro in negozio orari disponibili
complimenti	La vostra app è davvero bellissima
cancellazione_newsletter	Vorrei sapere come fare per essere cancellato dalla newsletter
errore_pagamento	Possiedo una carta di credito internazionale e non riesco ad effettuare il pagamento online
prodotti_non_disponibili	Ho fatto un ordine ma i prodotti non sono più disponibili
problema_sito	la pagina non si carica
app	download app
info_ingredienti_allergeni	Dove posso vedere gli allergeni?
new_covid_19	Corona virus
rimozione_dati	Non mi sono mai iscritto
modifica_dati_anagrafici	i dati del mio medico di base non me li fa inserire
consulto_medico	I macro nutrienti negli elementi
cancellare_registrazione	Avrei bisogno che la mia registrazione venga cancellata
problema_sito	In altro a destra non appare la tendina
cambiare_orario_consegna	come cambio l'orario?
consulto_medico	io vorrei dimagrire, cosa mi consigli?
annullare_ordine	Vorrei annullare un ordine
carta_non_intestatario	Non ho la carta fedeltà posso usarne una di qualcun'altro?
info_vetrina	Mi spieghi cos'è la vetrina
errore_pagamento	Eliminare carta di credito
problema_configurazione_app	L'app è compatibile con sony?
prezzo_prodotti	Dove trovo il prezzo di un prodotto?
ricerca_prodotti	Pizza barilla
registrazione_senza_email	Avrei bisogno di sapere se posso registrarmi anche se non ho l'email
modifica_ordine	Dopo aver fatto un ordine con ritiro in negozio, posso inserire nuovi prodotti?
errore_conclusione_ordine	Non riesco a procedere in quanto mi compare il messaggio di errore
rimozione_dati	rimozione da lista professionisti
codice_sconto	Dove inserisco il codice sconto?
complimenti	complimenti per l'applicazione
vaccini_viaggi	Vorrei avere informazioni sui vaccini
fare_spesa	Come iniziare la spesa online
estensione_geografica	porterete mai questo ottimo servizio in valdinievole, in provincia di pistoia, io credo che sarebbe molto utile
ricerca_prodotti	Vorrei trovare dei prodotti per la pulizia della casa!
problema_configurazione_app	è scaricabile su nokia?
errore_metodo_pagamento	Perché non mi fa scegliere il metodo di pagamento?
consegna_quantita	Esiste un limite per la spesa?
esito_ordine	Vorrei avere un riscontro sul mio ordine
collaborazioni	Siete in cerca di personale?
modifica_dati_anagrafici	modifica dati anagrafici
errore_registrazione_app	errore di registrazione da app
cancellazione_newsletter	Cancellazione newsletter
consegna_costo	Nel precedente ordine ho pagato di più
modifica_password	Voglio cambiare password
orari_negozi	a che ora apre il mio store?
ricerca_prodotti	Derby limone
rimozione_dati	io non mi sono mai iscritta alla vostra piattaforma ne lasciato i miei dati ma c'è il mio profilo completo
cambiare_orario_consegna	Voglio posticiparla
hr	Posso inviarvi il mio cv?
limite_minimo	Quante casse d'acqua posso comprare?
visita_supermercato	Voglio visitare il supermercato prima di registrarmi
new_covid_19	Come mi difendo da coronavirus
area_non_coperta	Nella zona dove vivo non è disponibile il servizio che succede se mi registro?
sconti_non_applicati	Perché pur scegliendo un prodotto in offerta con Carta Più il prezzo conteggiato nel carrello mi risulta non scontato?
prodotto_sbagliato	Il prodotto da me ordinato è diverso
cambiare_orario_consegna	Vorrei sapere come cambiare l'orario di consegna
disponibilita_prodotti	Vorrei vedere se il prodotto è disponibile
cancellazione_account	Come cancello l'account?
importo_pagato_diverso	Prezzi differenti che faccio?
consulto_medico	Medicina contro cistite
promozioni	Chiedevo del volantino
errore_credenziali	credenziali errore
info_vetrina	Cos'è la vetrina?
modalita_pagamento	Non ho la carta di credito è possibile pagare in contanti sul punto vendita?
vaccini_viaggi	Quali vaccinazioni sono obbligatorie se viaggio in Messico o a Città del Messico?
info_registrazione_azienda	registrazione azienda
contatti	Voglio parlare con un operatore mi hai rotto 
info_negozi	venduto da bricoman treviso
logout_carrello	come recupero l'ordine?
orari_negozi	a che ora chiude il negozio di Segrate?
ricerca_prodotti	frollini di grano
quando_punti	quando mi vengono caricati i punti sulla carta fedeltà?
scaricare_app	Vorrei sapere come scaricare l'app uwell
sei_un_robot	sei un robot?
prodotti_non_disponibili	Cosa succede nel caso in cui alcuni prodotti ordinati non siano disponibili al momento della preparazione dell'ordine?
collaborazioni	Vorrei candidarmi come
ricerca_prodotti	Macinato
registrazione_senza_email	è possibile registrarsi senza email?
reso_prodotti	Vorrei chiedere il reso su un prodotto difettoso
contatti	Ho bisogno di parlare con qualcuno
prodotto_irreperibile	Non riesco a trovare il prodotto da me desiderato
errore_registrazione_app	Ho confermato l’email ma non mi fa entrare
agenda_bloccata	Come mai non riesco ad accedere alla funzione agenda?
reso_prodotti	Ho ritirato la spesa online ma era presente una confezione di burger di soia in meno rispetto all’ordine. Posso segnalare la cosa in negozio
consulto_medico	Ho una eruzione cutanea su varie parti del corpo. 
ordine_effettuare	Come effettuare un ordine?
carta_fedelta_inserimento	Come inserisco la carta fedeltà ?
catalogo_premi	pensato per voi raccolta punti
consegna_quantita	se faccio la spesa online vi sono limiti di peso?
modifica_ordine	Voglio modifiacare il mio ordine già inoltrato
contatti_punti_vendita	Lista contatti punti vendita
problema_sito	"non riesco a compilare il modulo di ""completa dl registrazione"""
lista_farmaci_consegna_a_domicilio	vorrei avere una lista completa dei possibili farmaci da ordinare
codice_sconto	come utilizzo lo sconto?
modalita_pagamento	Come posso pagare l'ordine fatto
carrello_spesa	Vorrei sapere dov'è il carrello in questo sito?
errore_codice_fiscale	Codice fiscale sbagliato?
modifica_preferiti	mi sono iscritta ma non mi permette di salvare i dati (medico, farmacia della mia zona, ecc), non compare la possibilità di salvare i dati scritti
problema_configurazione_app	Non riesco a far funzionare l'app su IOS
addebito_bancario_spesa	Mi sono arrivate due mail di addebito bancario
consegna_a_domicilio	Fino a che ora le consegne a domicilio?
info_per_farmacie	Ho problemi con la registrazione della farmacia
scaricare_app	Download app
vaccini_viaggi	è obbligatorio vaccinarsi quando vai in ?
catalogo_premi	Dove trovo catalogo punti on line 
collaborazioni	Vorrei sapere se posso inviare il mio cv
area_non_coperta	Registrazione al servizio anche se la mia zona non è coperta
info_per_farmacie	Sono il titolare della farmacia, vorrei essere contattato.
ricerca_prodotti	gioco carota per cani
ricerca_prodotti	Avrei bisogno di camomilla in filtri 
ecommerce	vendita farmaci online?
fattura_elettronica	Vorrei la fattura elettronica
utente_bloccato	L'utente che stavo inserendo tra la mia famiglia ha un lucchetto rosso sopra
controindicazioni	dopo aver preso un medicinale ho dei dolori muscolari
errore_metodo_pagamento	C'è stato un errore col metodo di pagamento
logout_carrello	come si fa il log out?
modalita_pagamento	Direttamente dal conto?
reso_prodotti	Come faccio a richiedere un reso?
errore_conclusione_ordine	Ho caricato il carrello, stavo per confermare l'ordine e ora vedo il carrello vuoto, come mai?
citta_consegna	supermercato alessandria
servizio_di_consegna	il servizio di consegna è a carico dell'utente?
promemoria	inserisci notifica promemoria
errore_generico_app	Ho problemi con l'utilizzo dell'app
farmacia_preferita	Non riesco a visualizzare la mia farmacia da applicazione
carta_fedelta_inserimento	Come inserisco la carta fedeltà su Crai Spesa Online?
fasce_orarie_consegna_a_casa	fasce orarie per consegna a casa?
consulto_medico	sto male
codice_fiscale	inserimento tessera sanitaria
a_chi_si_rivolge	voglio sapere a chi si rivolge
errore_credenziali	Problema con credenziali
contatti_punti_vendita	Dove trovo tutti i contatti dei punti vendita?
medico_preferito	aggiunta medico di famiglia
carta_fedelta_inserimento	Come faccio a inserire la carta?
reso_consegna_domicilio	reso prodotti
prescrizione_medica	è possibile ordinare farmaci che richiedono prescrizione medica?
codice_fiscale	Vorrei sapere come inserire il codice fiscale
consegna_costo	Quanto costa la consegna?
errore_aggiunta_familiare	aggiunta familiare a lista
registrazione_utenti	Come faccio a registrarmi?
citta_consegna	zone di copertura del servizio?
consulto_medico	Dove trovo i prodotti per il reflusso?
privacy	siete gdpr compliant?
problema_configurazione_app	il servizio è compatibile con motorola?
tipologie_ordine	Quali sono i tipi di ordine che offrite
device_diversi_sincronizzati	posso sincronizzare più dispositivi
cambiare_orario_consegna	Come posso modificare l'orario di consegna della spesa?
lista_preferiti	dove posso salvare i miei prodotti preferiti?
consegna_costo	spese di spedizione spesa ?
orari_negozi	Fasce orarie disponibili per ritiro in negozio
citta_consegna	Servizio copertura?
lista_preferiti	Sai dirmi come posso salvare i miei prodotti preferiti?
operatore	Ho bisogno di parlare con voi
sconti_non_applicati	Non mi applica lo sconto del 20% sul carrello spesa on line importo superiore a 70 euro perché?
logout_carrello	sparito il cartello ?
area_non_coperta	Posso registrarmi al sito anche se risiedo in una zona non coperta dal servizio?
errore_conclusione_ordine	errore con la conclusione dell'ordine
privacy	ma il consenso alla cessione dei dati anche a terzi per finalità di marketing e promozione è obbligatorio?
consulto_medico	Ma quante volte bisognerebbe prenderli i proibitici
consegna_premi	Vorrei ricevere i premi del catalogo con la spesa a casa
uso_improprio_email	questa è l'e-mail che ho ricevuto: vorrei ricordarvi che questa e mail è un'identificazione personale e non vi ho dato il mio consenso per memorizzare queste informazioni.
contenuti_blog	Ho un articolo molto interessante da pubblicare sul vostro blog è possibile?
sconti_non_applicati	Gli sconti non ci sono
errore_password	non mi fa entrare e mi dice che le credenziali sono sbagliate ,provo a cambiare la password ma non va. cosa devo fare?
codice_sconto	sai dirmi dove inserire il codice sconto?
sconti_non_applicati	Gli sconti non sono mai stati applicati
errore_aggiunta_carrello	Tutto quello che avevo messo nel carrello è scomparso: perché?
prezzo_prodotti	info su prezzi prodotti
consegna_premi	Vorrei avere con la spesa i premi del catalogo !
codice_fiscale	Ho bisogno di inserire il mio codice fiscale
promozioni	promo del volantino online ?
cambiare_orario_consegna	Non sono a casa per l'orario di consegna disponibile, posso modificarlo?
problema_configurazione_app	Uwell è compatibile con xiaomi
errore_generico_app	errore di funzionalità app
ecommerce	Posso comprare farmaci?
volantino	Dove trovo il catalogo dei prodotti?
sconti_non_applicati	posso fare la spesa oggi con consegna domani e usufruire dello sconto di 20 euro?
uso_improprio_email	La mia email non viene usata correttamente
registrazione_utenti	Non riesco ad iscrivermi
ricerca_prodotti	Dove posso trovare il caffè
estero	è possibile inviare i farmaci tramite il vostro servizio anche all'estero?
fasce_orarie_consegna_a_casa	mi consegnate la spesa oggi che è domenica?
info_per_farmacie	adesione farmacia
carta_non_intestatario	registrarsi con una carta fedeltà non mia?
no_farmacia_intorno_a_me	Non visualizzo se il mio indirizzo è coperto dalla consegna
nome_utente	Dove trovo il nome utente?
logout_carrello	Non ho terminato l'ordine posso fare logout
collaborazioni	Potrei collaborare con voi come faccio?
citta_consegna	Non ho nessun riscontro per il negozio
volantino	Volevo sapere se ce il volantino delle offerte
ricerca_prodotti	Prodotto da acquistare online
errore_password	Non riesco ad accedere
registrazione_utenti	come mi registro?
ricerca_prodotti	Non trovo il Grancampidano grattuggiato
errore_codice_segreto	ho problemi col codice segreto
cambiare_orario_consegna	come cambio l'orario di consegna?
collaborazioni	Volevo chiedervi se avete bisogno di persone he possono lavorare per voi
logout_carrello	Perchè mi ritrovo il carrello azzerato?
cambiare_email	vorrei cambiare l'email
errore_aggiunta_carrello	non si vedono i prodotti nel carrello
errore_password	Non riesco ad inserire la password anche se l'ho appena creata
rimozione_dati	Non ho capito perchè non mi sono iscritta alla vostra piattaforma ma vedo comunque comparire i vostri dati
errore_aggiunta_carrello	Mi ha cancellato tutto
tipologie_ordine	Tipologie ordine. Info
info_registrazione	Come faccio a registrarmi sul sito?
errore_aggiunta_familiare	come faccio ad aggiungere mio figlio all'app
operatore	reclamo
info_negozi	buongiorno, vorrei sapere qual è il vostro punto vendita più vicino a parabiago, grazie
modalita_pagamento	Pagamento?
device_diversi_sincronizzati	Se utilizzo due device le operazioni che effettuo mi compaiono automaticamente su entrambi?
modifica_preferiti	Non riesco a modificare la mia farmacia preferita
importo_pagato_diverso	il mio ordine non corrisponde a quello che avevo ordinato
promozioni	sconti
no_corrispondenza_prodotti	Il Prodotto era disponibile sul sito ma non in negozio
pagina_personale	Cos'è la pagina personale ?
errore_metodo_pagamento	Il metodo di pagamento è errato
password_dimenticata	cambio credenziali
saldo_punti	Vorrei vedere i premi con il saldo punti
sei_un_robot	Ma tu sei un robot? 
familiari	Posso inserire mio marito nella lista dei familiari ?
modifica_password	Non trovo l'area per la modifica della password
cancellazione_account	vorrei cancellarmi dal vostro sito
logout_carrello	Logout e ordine non completato?
promozioni	Quali sono le promo attive?
no_corrispondenza_prodotti	Prodotto presente sul sito ma non in store
estensione_geografica	Utilizzeremo il servizio anche in altre città?
errore_codice_segreto	Come mai non riesco ad inserire il codice segreto?
problema_accesso_app	Non riesco ad accedere
problema_consegna	La spesa è stata consegnata in ritardo
utente_bloccato	Ho un utente bloccato che faccio?
accesso_limitato	accesso limitato
problema_sito	L’app si blocca
password_dimenticata	Volevo sapere che faccio se ho dimenticato la password ?
sei_un_robot	Sei Reale?
consulto_medico	Volevo sapere cosa causa il cattivo odore nel membro femminile
consegna_a_domicilio	il servizio di consegna a domicilio è disponibile su tutto il territorio nazionale?
problema_accesso_app	Dovrei accedere all'app ma non riesco
cancellazione_newsletter	Posso essere cancellato dalla newsletter?
errore_schermata_indisponibile	L'applicazione è inutilizzabile su android
errore_conclusione_ordine	Non riesco a effettuare l'ordine. Come mai?
coupon_omaggio	Disponete di coupon?
fasce_orarie_consegna_a_casa	é possibile farsi consegnare la spesa la domenica?
reso_prodotti	reclamo prodotti
insoddisfazione_ordine	Come faccio se non sono soddisfatto dell'ordine?
errore_password	Problemi con accesso
errore_codice_segreto	Vorrei riuscire ad inserire il codice segreto
modifica_email	Come faccio a modificare l'email?
problema_accesso_app	Non riesco ad accedere all'app che posso fare ?
reso_prodotti	Voglio reclamare dei prodotti non buoni
citta_consegna	Zone d'Italia dove è attivo il servizio?
prodotto_scaduto	Ho ricevuto prodotti scaduti
contatti	Voglio parlare con qualcuno
medico_preferito	vorrei aggiungere il mio medico di famiglia
sei_un_robot	Esisti davvero?
app	info download app
modifica_password	Vorrei modificare la password
info_per_farmacie	Come devo fare ad inserire la mia farmacia al vostro programma ?
agenda_bloccata	Mi sai dire come mai non riesco ad accedere alla funzione agenda?
area_non_coperta	Mi registro anche se la zona non è coperta?
fare_spesa	Fine spesa
stile_di_vita	Info specifiche sui prodotti in base al mio stile di vita ?
errore_codice_fiscale	codice fiscale errore
coupon_omaggio	Vorrei sapere come scaricare il coupon omaggio
problema_sito	problema sito
carta_fedelta_inserimento	Dove posso inserire la carta fedeltà?
rimozione_dati	Come posso cancellare il mio contatto tra l’elenco dei vostri professionisti visto che non ho creato io la mia scheda?
addebito_bancario_spesa	é possibile che mi sia stata accreditata la spesa due volte ?
consegna_spesa	Vorrei sapere come avviene la consegna
modifica_ordine	Vorrei modificare il mio ordine
coupon_omaggio	Mi dici come scarico il buono omaggio?
consulto_medico	cosa è la faringite
consegna_a_domicilio	ho la possibilità di ordinare un farmaco attraverso uwell?
consulto_medico	allergometria cosa faccio?
reso_prodotti	Reclamo
prodotto_sbagliato	Ho ricevuto un prodotto sbagliato
info_per_farmacie	Non riesco a registrare la mia farmacia
fare_spesa	Cosa devo fare adesso?
registrazione_senza_carta	Non ho la tessera Crai, posso comunque fare la registrazione all'App e richiedere la spesa a domicilio?
modifica_ordine	come si corregge l'ordine on line? vorrei eliminare un prodotto
insoddisfazione_ordine	Non sono rimasto soddisfatto dell'ordine
reso_prodotti	I prodotti erano difettosi perciò vorrei chiedere un reso
modifica_ordine	Ho appena eseguito un ordine, dovrei modificare le quantità come faccio?
errore_credenziali	Errore credenziali?
device_diversi_sincronizzati	è possibile utilizzare due device per lo stesso programma?
modalita_pagamento	carta credito
info_registrazione	come mi registro?
problema_sito	Sto tentando di accedere al sito ma non funziona
ricerca_prodotti	Dove trovo i bicchieri di plastica?
modifica_dati_anagrafici	Ho modificato i dati anagrafici ma non riesco a salvarli
pagina_personale	Dove posso vedere i miei ordini fatti?
password_dimenticata	Cosa posso fare se dimentico la password?
info_registrazione	Cosa devo fare per registrarmi?
info_registrazione	Vorrei registrarmi ma non ci riesco
problema_sito	non mi carica correttamente la pagina
errore_password	Non posso inserire la password perchè mi dice che è errata
errore_password	"Mi compare la scritta "" password errata"" come mai?"
collaborazioni	Dove posso inviare il mio cv?
lista_farmaci_consegna_a_domicilio	medicinali disponibili per la consegna a domicilio?
logout_carrello	é sparito il mio carrello
ricerca_prodotti	ricerca prodotti
consegna_a_domicilio	Consegna domicilio
orari_negozi	A che ora apre il punto vendita di ?
utente_bloccato	non capisco perché ho tra “la mia famiglia” un utente con sopra un lucchetto rosso, stavo registrando un membro ma non ho mandato nessuna mail quindi non capisco
uso_improprio_email	La mia email non è stata usata correttamente
cambiare_email	cambio email
errore_aggiunta_carrello	E' sparito tutto dal carrello
errore_metodo_pagamento	è bloccato su metodo di pagamento
lista_farmaci_consegna_a_domicilio	Devo ordinare un farmaco
modifica_password	Vorrei reimpostare la password
citta_consegna	Dove è attivo il servizio
ticket	Quali sono i ticket restaurant accettati da crai?
costo_servizio	Vorrei sapere se questo servizio è a pagamento
profilo_salute	come faccio a creare il mio profilo?
errore_aggiunta_carrello	Perchè non mi fa mettere i prodotti nel carrello?
logout_carrello	ho già fatto la spesa da un altro computer, posso recuperare l'ordine?
sconti_non_applicati	Al momento del check out ho notato che non erano stati applicati gli sconti
modifica_ordine	Aggiungere prodotti a un ordine
problema_sito	Ho provato più volte a ricaricare la pagina ma non va lo stesso
lista_farmaci_consegna_a_domicilio	Vorrei delle info sui medicinali
agenda_bloccata	Mi sai dire come mai la funzione agenda non funziona e devo per forza salvare gli appuntamenti sul calendario del telefono ?
complimenti	app bellissima
fattura	è possibile avere fattura?
errore_codice_fiscale	Non riesco ad inserire il codice fiscale
errore_apertura_pagina	Non posso confermare la mia email mi aiuti?
saldo_punti	é possibile fare un saldo dei punti online?
logout_carrello	Posso uscire senza aver concluso l'ordine?
info_ingredienti_allergeni	Posso richiedere una lista degli allergeni?
consulto_medico	affrontare il cancro
info_per_farmacie	Non posso inserire la farmacia su Uwell
modalita_pagamento	Metodi di pagamento?
password_dimenticata	Ho dimenticato la password
contatti	Ci sono convenzioni per disabili?
prezzo_prodotti	Vorrei sapere il prezzo delle mascherine
a_chi_si_rivolge	info a chi
errore_chiusura	Come faccio a chiudere tutto?
new_covid_19	Credo di essermi ammalato del corona virus
modalita_pagamento	Il pagamento può avvenire tramite bancomat a domicilio?
volantino	Catalogo offerte?
errore_aggiunta_familiare	Sai dirmi come posso aggiungere altri familiari perchè riesco solo ad aggiungere mio figlio
costo_servizio	costo servizio
nome_utente	Ho dimenticato il nome utente
consulto_medico	Macchie rosse preannunciano il ciclo?
saldo_punti	Vorrei sapere quanti punti ho raccolto
new_covid_19	Coronavirus quali sono i sintomi?
operatore	vorrei reclamare
info_per_farmacie	Vorrei aderire al vostro servizio
consulto_medico	Come si fa a non avere più sonno?
scaricare_app	Info download app
problema_consegna	Ordine in ritardo
modifica_ordine	Non riesco a togliere alcuni prodotti dal carrello
registrazione_senza_carta	Carta fedeltà e iscrizione anche senza contatti?
errore_chiusura	non riesco a chiudere
accesso_limitato	scritta accesso limitato
consegna_spesa	In che modo consegnate la spesa?
esito_ordine	Devo attendere conferma ordine?
profilo_salute	creare il profilo salute
consulto_medico	Tosse
consegna_a_domicilio	servizio consegna a domicilio
a_chi_si_rivolge	a chi è dedicato il servizio
lista_farmaci_consegna_a_domicilio	Vorrei sapere dove trovo la lista con i farmaci disponibili
senza_glutine	dove vedo i prodotti senza glutine
fattura	voglio richiedere la fattura
cancellazione_newsletter	Potete cancellarmi dalla newsletter ?
modifica_ordine	Posso aggiungere articoli ad una spesa già fatta ma non consegnata?
citta_consegna	coprite milano?
controindicazioni	Dove trovo gli effetti collaterali?
consulto_medico	Credo di avere la febbre gialla cosa faccio?
errore_password	La password risulta errata
prezzo_prodotti	Mi aiuti a sapere il prezzo di un prodotto?
ricetta	Ricetta spaghetti ai frutti di mare?
visita_supermercato	Vedere il supermercato per poi registrarsi?
medico_preferito	voglio inserire il mio medico preferito
consulto_medico	Ho debolezza nelle gambe
problema_consegna	Non ho ricevuto la consegna
password_dimenticata	non mi dà la password sul computer come faccio, non me la ricordo? 
ordine_effettuare	Vorrei effettuare un ordine
